run,pop,herb,order,rate,rep,ve,biomass
1,AT8-R,cloransulam,1,3x,2,,
1,AT8-R,cloransulam,1,3x,3,,
1,AT8-R,cloransulam,1,3x,4,,
1,AT8-R,cloransulam,1,3x,5,,
1,AT8-R,cloransulam,1,3x,6,,
1,AT8-R,cloransulam,1,3x,7,,
1,AT8-R,cloransulam,1,3x,8,,
1,AT8-S,control,0,1x,1,10,2.566
1,AT8-S,control,0,1x,2,10,1.996
1,AT8-S,control,0,1x,3,10,1.815
1,AT8-S,control,0,1x,4,10,2.186
1,AT8-S,cloransulam,1,1x,1,1,0
1,AT8-S,cloransulam,1,1x,2,2,0.094
1,AT8-S,cloransulam,1,1x,3,1,0
1,AT8-S,cloransulam,1,1x,4,1,0
