run,pop,herb,rate,rep,count,biomass,count_red,bio_red
2,A20,atrazine,0.5x,3,13,1.563,0.4022988510,0.0514337730
2,A20,atrazine,0.5x,4,5,0.55,0.7701149430,0.6662115010
2,A20,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A20,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A20,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A20,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A22,atrazine,0.5x,1,19,1.618,0.4411764710,0.1803444780
2,A22,atrazine,0.5x,2,6,0.311,0.8235294120,0.8424518740
2,A22,atrazine,0.5x,3,11,1.358,0.6764705880,0.3120567380
2,A22,atrazine,0.5x,4,7,1.179,0.7941176470,0.4027355620
2,A22,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A22,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A22,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A22,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A23,atrazine,0.5x,1,4,0.033,0.4666666670,0.9466666670
2,A23,atrazine,0.5x,2,4,0.047,0.4666666670,0.9240404040
2,A23,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
2,A23,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A27,atrazine,0.5x,1,0,0,0.9999999999,0.9999999999
2,A27,atrazine,0.5x,2,0,0,0.9999999999,0.9999999999
2,A27,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
2,A27,atrazine,0.5x,4,4,0.045,0.0000000001,0.9378453040
2,A27,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A27,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A27,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A27,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A31,atrazine,0.5x,1,4,0.012,0.6923076920,0.9883636360
2,A31,atrazine,0.5x,2,19,0.591,0.0000000001,0.4269090910
2,A31,atrazine,0.5x,3,4,0.235,0.6923076920,0.7721212120
2,A31,atrazine,0.5x,4,5,0.452,0.6153846150,0.5616969700
2,A31,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A31,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A31,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A31,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A34,atrazine,0.5x,1,4,0.235,0.7714285710,0.8458005250
2,A34,atrazine,0.5x,2,8,0.311,0.5428571430,0.7959317590
2,A34,atrazine,0.5x,3,5,0.045,0.7142857140,0.9704724410
2,A34,atrazine,0.5x,4,5,0.828,0.7142857140,0.4566929130
2,A34,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
