run,pop,herb,rate,rep,ve,biomass,ve_red,bio_red
1,A40,glyphosate,1x,7,8,1.4335,0.2000000000,0.3295370840
1,A40,glyphosate,1x,8,8,1.4743,0.2000000000,0.3104544980
1,A41,glyphosate,1x,1,9,2.0419,0.1000000000,0.0886104200
1,A41,glyphosate,1x,2,9,1.7978,0.1000000000,0.1975629620
1,A41,glyphosate,1x,3,8,1.5443,0.2000000000,0.3107111370
1,A41,glyphosate,1x,4,9,2.0499,0.1000000000,0.0850396690
1,A41,glyphosate,1x,5,8,1.1272,0.2000000000,0.4968811720
1,A41,glyphosate,1x,6,8,0.1224,0.2000000000,0.9453675080
1,A41,glyphosate,1x,7,7,0.8206,0.3000000000,0.6337302070
1,A41,glyphosate,1x,8,9,1.5612,0.1000000000,0.3031679260
1,A42,glyphosate,1x,1,2,0.1173,0.8000000000,0.9516916170
1,A42,glyphosate,1x,2,7,1.2451,0.3000000000,0.4872227830
1,A42,glyphosate,1x,3,9,2.7442,0.1000000000,0.0000000001
1,A42,glyphosate,1x,4,1,0,0.9000000000,0.9999999999
1,A42,glyphosate,1x,5,3,0.1301,0.7000000000,0.9464201140
1,A42,glyphosate,1x,6,1,0,0.9000000000,0.9999999999
1,A42,glyphosate,1x,7,3,0.1447,0.7000000000,0.9404073060
1,A42,glyphosate,1x,8,3,0.1544,0.7000000000,0.9364124950
1,A43,glyphosate,1x,1,9,3.1358,0.1000000000,0.0000000001
1,A43,glyphosate,1x,2,8,2.4633,0.2000000000,0.1695015260
1,A43,glyphosate,1x,3,9,3.8733,0.1000000000,0.0000000001
1,A43,glyphosate,1x,4,8,1.477,0.2000000000,0.5020313210
1,A43,glyphosate,1x,5,9,3.2701,0.1000000000,0.0000000001
1,A43,glyphosate,1x,6,1,0,0.9000000000,0.9999999999
1,A43,glyphosate,1x,7,9,3.0472,0.1000000000,0.0000000001
1,A43,glyphosate,1x,8,9,2.8722,0.1000000000,0.0316414090
1,A44,glyphosate,1x,1,9,2.0469,0.1000000000,0.2850693750
1,A44,glyphosate,1x,2,9,2.6084,0.1000000000,0.0889515640
1,A44,glyphosate,1x,3,9,3.0967,0.1000000000,0.0000000001
1,A44,glyphosate,1x,4,8,0.9811,0.2000000000,0.6573264760
1,A44,glyphosate,1x,5,9,2.2403,0.1000000000,0.2175196250
1,A44,glyphosate,1x,6,5,0.267,0.5000000000,0.9067436240
1,A44,glyphosate,1x,7,9,1.9351,0.1000000000,0.3241182990
1,A44,glyphosate,1x,8,9,2.8218,0.1000000000,0.0144163180
1,A45,glyphosate,1x,1,9,2.504,0.1000000000,0.1197279030
1,A45,glyphosate,1x,2,9,3.1187,0.1000000000,0.0000000001
1,A45,glyphosate,1x,3,9,3.1161,0.1000000000,0.0000000001
1,A45,glyphosate,1x,4,9,2.7886,0.1000000000,0.0196778080
1,A45,glyphosate,1x,5,9,3.0841,0.1000000000,0.0000000001
1,A45,glyphosate,1x,6,9,2.0995,0.1000000000,0.2619284080
1,A45,glyphosate,1x,7,9,2.3585,0.1000000000,0.1708778990
1,A45,glyphosate,1x,8,9,2.0838,0.1000000000,0.2674476860
1,A46,glyphosate,1x,1,8,1.4381,0.2000000000,0.4018882050
